QStrength	Quantifier	Arg1	Pred	Arg2	Sentence	Score	Canonical?	Multiword?	Inferred?	Domain	Range	Provenance
0.41	some	mosquito	bite	boy	Some mosquitoes bite boys.	1.00	y	n	n	insect_n1	person_n1	a940
0.41	some	mosquito	bite	dog	Some mosquitoes bite dogs.	1.00	y	n	n	insect_n1	animal_n1	a9371|a9372|a9373
0.41	some	mosquito	bite	person	Some mosquitoes bite people.	1.00	y	n	n	insect_n1	person_n1	a19529|a19530|a19531|a19532|a19533|a19534|a19535|a19536|a19537|a19538|a19539|a19540|a19541|a19542|a41574|a41575|a41576|a41577|a41578|a41579|a41580
0.41	some	mosquito	bite	rat	Some mosquitoes bite rats.	0.67	y	n	n	insect_n1	animal_n1	KBCompletion
0.41	some	mosquito	bite	tail	Some mosquitoes bite tails.	0.67	y	n	n	insect_n1	body_part_n1	KBCompletion
0.41	some	mosquito	depend on	food	Some mosquitoes depend on food.	1.00	y	n	n	insect_n1	food_n1	KBCompletion
0.41	some	mosquito	eat	microorganism	Some mosquitoes eat microorganisms.	1.00	y	n	n	insect_n1	microorganism_n1	a7203
0.41	some	mosquito	eat	nectar	Some mosquitoes eat nectar.	1.00	y	n	n	insect_n1	substance_n1	a3112|a3113|a3114|a3115|a3116|a3117|a3118|a3119|a3120|a3121
0.41	some	mosquito	emerge from	lake	Some mosquitoes emerge from lakes.	1.00	y	n	n	insect_n1	water_n2	a28171
0.41	some	mosquito	emerge from	pond	Some mosquitoes emerge from ponds.	1.00	y	n	n	insect_n1	water_n2	a11464
0.41	some	mosquito	enter	building	Some mosquitoes enter buildings.	1.00	y	n	n	insect_n1	building_n1	a50049|a50050|a50051
0.41	some	mosquito	enter	garden	Some mosquitoes enter gardens.	0.67	y	n	n	insect_n1	location_n1	KBCompletion
0.41	some	mosquito	enter	hole	Some mosquitoes enter holes.	0.67	y	n	n	insect_n1	location_n1	KBCompletion
0.41	some	mosquito	enter	neighborhood	Some mosquitoes enter neighborhoods.	1.00	y	n	n	insect_n1	location_n1	a19228
0.41	some	mosquito	float in	pond	Some mosquitoes float in ponds.	0.67	y	n	n	insect_n1	water_n2	KBCompletion
0.41	some	mosquito	give birth to	insect	Some mosquitoes give birth to insects.	0.67	y	n	n	insect_n1	insect_n1	a2471
0.41	some	mosquito	infect	person	Some mosquitoes infect people.	1.00	y	n	n	insect_n1	person_n1	a13320|a13321|a13322|a13323|a13324|a13325
0.41	some	mosquito	invade	neighborhood	Some mosquitoes invade neighborhoods.	1.00	y	n	n	insect_n1	location_n1	a35741
0.41	some	mosquito	invade	town	Some mosquitoes invade towns.	1.00	y	n	n	insect_n1	location_n1	KBCompletion
0.41	some	mosquito	live in	county	Some mosquitoes live in counties.	1.00	y	n	n	insect_n1	location_n1	a18074|a55082
0.41	some	mosquito	live in	region	Some mosquitoes live in regions.	1.00	y	n	n	insect_n1	location_n1	a65210
0.41	some	mosquito	play in	water	Some mosquitoes play in water.	0.67	y	n	n	insect_n1	substance_n1	KBCompletion
0.41	some	mosquito	possess	egg	Some mosquitoes possess eggs.	1.00	y	n	n	insect_n1	Thing	a1684|a1685
0.41	some	mosquito	require	protein	Some mosquitoes require proteins.	1.00	y	n	n	insect_n1	substance_n1	a37095|a45331
0.41	some	mosquito	rest on	vegetation	Some mosquitoes rest on vegetation.	1.00	y	n	n	insect_n1	Thing	a41667|a41668
0.40	some	mosquito	enter	home	Some mosquitoes enter homes.	1.00	y	n	n	insect_n1	location_n1	a45257|a52444|a52445
0.33	some	mosquito	bite	bird	Some mosquitoes bite birds.	1.00	y	n	n	insect_n1	bird_n1	a48794|a48795|a48796|a48797|a48798|a48799|a48800|a48801|a48802|a48803|a48804|a48805|a48806|a48807|a48808|a48809|a48810|a48811|a48812|a48813|a48814|a48815|a48816|a48817|a48818|a48819|a48820|a48821
0.33	some	mosquito	bite	pet	Some mosquitoes bite pets.	1.00	y	n	n	insect_n1	animal_n1	a52871|a52872
0.33	some	mosquito	carry	cell	Some mosquitoes carry cells.	1.00	y	n	n	insect_n1	Thing	a85367
0.33	some	mosquito	feel	wind	Some mosquitoes feel wind.	1.00	y	n	n	insect_n1	phenomenon_n1	KBCompletion
0.33	some	mosquito	hear	dog	Some mosquitoes hear dogs.	0.67	y	n	n	insect_n1	animal_n1	KBCompletion
0.33	some	mosquito	hide in	leaf	Some mosquitoes hide in leaves.	1.00	y	n	n	insect_n1	plant_part_n1	a76779
0.33	some	mosquito	infect	livestock	Some mosquitoes infect livestock.	1.00	y	n	n	insect_n1	animal_n1	a86196
0.33	some	mosquito	invade	cabin	Some mosquitoes invade cabins.	1.00	y	n	n	insect_n1	artifact_n1	KBCompletion
0.33	some	mosquito	live in	tree	Some mosquitoes live in trees.	1.00	y	n	n	insect_n1	plant_n2	a78953
0.33	some	mosquito	possess	blood	Some mosquitoes possess blood.	1.00	y	n	n	insect_n1	substance_n1	a971|a972|a973
0.33	some	mosquito	prefer	child	Some mosquitoes prefer children.	1.00	y	n	n	insect_n1	person_n1	a49690
0.33	some	mosquito	provide	food	Some mosquitoes provide food.	0.67	y	n	n	insect_n1	food_n1	a76791
0.33	some	mosquito	release	enzyme	Some mosquitoes release enzymes.	1.00	y	n	n	insect_n1	substance_n1	KBCompletion
0.33	some	mosquito	return to	house	Some mosquitoes return to houses.	0.67	y	n	n	insect_n1	building_n1	KBCompletion
0.33	some	mosquito	sit on	limb	Some mosquitoes sit on limbs.	0.67	y	n	n	insect_n1	body_part_n1	KBCompletion
0.33	some	mosquito	transmit	microbe	Some mosquitoes transmit microbes.	0.50	y	n	n	insect_n1	microorganism_n1	KBCompletion
0.25	some	mosquito	bite	head	Some mosquitoes bite heads.	0.33	y	n	n	insect_n1	body_part_n1	a29248
0.25	some	mosquito	bite	soldier	Some mosquitoes bite soldiers.	1.00	y	n	n	insect_n1	person_n1	a80902
0.25	some	mosquito	eat	livestock	Some mosquitoes eat livestock.	1.00	y	n	n	insect_n1	animal_n1	a84471|a84472
0.25	some	mosquito	encounter	virus	Some mosquitoes encounter viruses.	0.33	y	n	n	insect_n1	microorganism_n1	a20122
0.25	some	mosquito	enter	cabin	Some mosquitoes enter cabins.	1.00	y	n	n	insect_n1	artifact_n1	a8078
0.25	some	mosquito	go to	light	Some mosquitoes go to light.	1.00	y	n	n	insect_n1	phenomenon_n1	a59294
0.25	some	mosquito	infect	home	Some mosquitoes infect homes.	0.67	y	n	n	insect_n1	location_n1	KBCompletion
0.25	some	mosquito	infect	organism	Some mosquitoes infect organisms.	1.00	y	n	n	insect_n1	organism_n1	KBCompletion
0.25	some	mosquito	infect	snake	Some mosquitoes infect snakes.	0.67	y	n	n	insect_n1	animal_n1	KBCompletion
0.25	some	mosquito	live in	oak	Some mosquitoes live in oak.	0.75	y	n	n	insect_n1	material_n1	a32250|a80346
0.25	some	mosquito	rest on	tree	Some mosquitoes rest on trees.	0.67	y	n	n	insect_n1	plant_n2	KBCompletion
0.25	some	mosquito	sit on	window	Some mosquitoes sit on windows.	1.00	y	n	n	insect_n1	artifact_n1	a34213
0.25	some	mosquito	spread	microbe	Some mosquitoes spread microbes.	0.50	y	n	n	insect_n1	microorganism_n1	KBCompletion
0.25	some	mosquito	suck	insecticide	Some mosquitoes suck insecticide.	0.67	y	n	n	insect_n1	material_n1	KBCompletion
0.20	some	mosquito	depend on	vegetation	Some mosquitoes depend on vegetation.	0.67	y	n	n	insect_n1	Thing	KBCompletion
0.16	some	mosquito	bite	goat	Some mosquitoes bite goats.	0.75	y	n	n	insect_n1	animal_n1	a20886|a20887
0.16	some	mosquito	eat	debris	Some mosquitoes eat debris.	1.00	y	n	n	insect_n1	material_n1	a25287
0.16	some	mosquito	eat	horse	Some mosquitoes eat horses.	1.00	y	n	n	insect_n1	animal_n1	a66407|a66408
0.16	some	mosquito	occur in	Michigan	Some mosquitoes occur in Michigan.	1.00	y	n	n	insect_n1	location_n1	a46363
0.16	some	mosquito	rest on	window	Some mosquitoes rest on windows.	0.67	y	n	n	insect_n1	artifact_n1	KBCompletion
0.16	some	mosquito	suck	egg	Some mosquitoes suck eggs.	0.67	y	n	n	insect_n1	Thing	KBCompletion
0.10	some	mosquito	bite	chicken	Some mosquitoes bite chickens.	0.67	y	n	n	insect_n1	bird_n1	a22950|a22951|a22952|a22953
0.09	some	mosquito	follow	breath	Some mosquitoes follow breaths.	1.00	y	n	n	insect_n1	phenomenon_n1	a85651
0.91	most	moth	has-part	mouthpart	Most moths has-part mouthparts.	1.00	y	n	n	insect_n1	body_part_n1	a50651
0.91	most	moth	spread	wing	Most moths spread wings.	1.00	y	n	n	insect_n1	body_part_n1	a13472
0.90	most	moth	possess	body	Most moths possess bodies.	1.00	y	n	n	insect_n1	Thing	a51524|a51525|a51526|a51527
0.75	most	moth	emerge from	cocoon	Most moths emerge from cocoons.	1.00	y	n	n	insect_n1	Thing	a76622
0.75	most	moth	emerge from	larva	Most moths emerge from larvae.	1.00	y	n	n	insect_n1	animal_n1	a84025
0.75	most	moth	has-part	organ	Most moths has-part organs.	1.00	y	n	n	insect_n1	body_part_n1	a28379
0.67	most	moth	eat	garment	Most moths eat garments.	1.00	y	n	n	insect_n1	clothing_n1	a38782|a64523
0.58	most	moth	has-part	tongue	Most moths has-part tongues.	1.00	y	n	n	insect_n1	body_part_n1	a53021
0.58	most	moth	make	egg	Most moths make eggs.	1.00	y	n	n	insect_n1	Thing	a79796
0.50	some	moth	invade	greenhouse	Some moths invade greenhouses.	1.00	y	n	n	insect_n1	building_n1	a17915|a17916
0.41	some	moth	make	damage	Some moths make damage.	1.00	y	n	n	insect_n1	event_n1	a84864
0.33	some	moth	love	paper	Some moths love paper.	1.00	y	n	n	insect_n1	material_n1	a49310|a49311
0.25	some	moth	live in	park	Some moths live in parks.	1.00	y	n	n	insect_n1	location_n1	a21553
0.16	some	moth	enter	region	Some moths enter regions.	1.00	y	n	n	insect_n1	location_n1	a44861
0.75	most	mother	possess	mate	Most mothers possess mates.	1.00	y	n	n	person_n1	animal_n1	a12808
0.50	some	mother	feed	chicken	Some mothers feed chickens.	1.00	y	n	n	person_n1	bird_n1	a18134
0.50	some	mother	love	duck	Some mothers love ducks.	1.00	y	n	n	person_n1	bird_n1	a31032|a31033
0.50	some	mother	possess	dog	Some mothers possess dogs.	1.00	y	n	n	person_n1	animal_n1	a216
0.41	some	mother	carry	pup	Some mothers carry pups.	1.00	y	n	n	person_n1	animal_n1	a71829
0.41	some	mother	feed	calf	Some mothers feed calves.	1.00	y	n	n	person_n1	animal_n1	a78902
0.40	some	mother	raise	rabbit	Some mothers raise rabbits.	0.00	y	n	n	person_n1	animal_n1	a76365
0.33	some	mother	feed	buffalo	Some mothers feed buffalo.	1.00	y	n	n	person_n1	animal_n1	a25260
0.33	some	mother	help	dog	Some mothers help dogs.	1.00	y	n	n	person_n1	animal_n1	a44400
0.33	some	mother	raise	chicken	Some mothers raise chickens.	0.50	y	n	n	person_n1	bird_n1	a31894|a31895|a31896
0.33	some	mother	sell	oyster	Some mothers sell oysters.	1.00	y	n	n	person_n1	animal_n1	a19633
0.33	some	mother	watch	rabbit	Some mothers watch rabbits.	1.00	y	n	n	person_n1	animal_n1	KBCompletion
0.25	some	mother	feed	pigeon	Some mothers feed pigeons.	1.00	y	n	n	person_n1	bird_n1	a77312
0.25	some	mother	possess	chicken	Some mothers possess chickens.	0.75	y	n	n	person_n1	bird_n1	a22346|a22347|a22348|a22349|a22350|a79643
0.25	some	mother	possess	parrot	Some mothers possess parrots.	1.00	y	n	n	person_n1	bird_n1	a85497
0.25	some	mother	raise	turkey	Some mothers raise turkeys.	0.00	y	n	n	person_n1	bird_n1	a44118|a44119|a44120|a44121
0.16	some	mother	love	animal	Some mothers love animals.	1.00	y	n	n	person_n1	animal_n1	a6943
0.16	some	mother	raise	monkey	Some mothers raise monkeys.	0.50	y	n	n	person_n1	animal_n1	a69214
0.09	some	mother	watch	turkey	Some mothers watch turkeys.	0.67	y	n	n	person_n1	bird_n1	KBCompletion
0.00	some	mother	watch	chicken	Some mothers watch chickens.	0.67	y	n	n	person_n1	bird_n1	KBCompletion
0.33	some	mountain	provide	goat	Some mountains provide goats.	1.00	y	n	n	formation_n5	animal_n1	a24775
1.00	most	mouse	eat	food	Most mice eat food.	1.00	y	n	n	animal_n1	food_n1	a33104|a52885|a67761
1.00	most	mouse	has-part	ear	Most mice has-part ears.	0.33	y	n	n	animal_n1	body_part_n1	a571|a572|a573
1.00	most	mouse	has-part	leg	Most mice has-part legs.	1.00	y	n	n	animal_n1	body_part_n1	a41652|a41653
1.00	most	mouse	has-part	nose	Most mice has-part noses.	1.00	y	n	n	animal_n1	body_part_n1	a81866
1.00	most	mouse	is known as	mouse	Most mice are known as mice.	1.00	y	n	n	animal_n1	animal_n1	a41998|a41999
0.91	most	mouse	chew	hole	Most mice chew holes.	1.00	y	n	n	animal_n1	location_n1	a41913
0.91	most	mouse	give birth to	mouse	Most mice give birth to mice.	1.00	y	n	n	animal_n1	animal_n1	a9423|a9424|a35896|a35897|a35898|a35899
0.91	most	mouse	grow	cell	Most mice grow cells.	1.00	y	n	n	animal_n1	Thing	a80715|a80716|a80717
0.91	most	mouse	has-part	foot	Most mice has-part feet.	1.00	y	n	n	animal_n1	body_part_n1	a36465|a36466|a36467
0.91	most	mouse	possess	blood	Most mice possess blood.	1.00	y	n	n	animal_n1	substance_n1	a34222
0.91	most	mouse	resemble	mouse	Most mice resemble mice.	1.00	y	n	n	animal_n1	animal_n1	a71183
0.91	most	mouse	swallow	food	Most mice swallow food.	1.00	y	n	n	animal_n1	food_n1	KBCompletion
0.84	most	mouse	carry	gene	Most mice carry genes.	1.00	y	n	n	animal_n1	Thing	a28787|a28788|a28789|a28790|a28791|a28792|a28793|a28794|a28795|a28796|a28797|a28798|a28799|a28800|a28801|a28802|a28803|a28804|a28805|a28806|a28807|a28808|a28809|a28810|a28811|a28812|a28813|a28814|a28815
0.84	most	mouse	chew	vegetation	Most mice chew vegetation.	1.00	y	n	n	animal_n1	Thing	KBCompletion
0.84	most	mouse	enter	burrow	Most mice enter burrows.	1.00	y	n	n	animal_n1	formation_n5	KBCompletion
0.84	most	mouse	has-part	organ	Most mice has-part organs.	1.00	y	n	n	animal_n1	body_part_n1	a51824
0.84	most	mouse	has-part	tail	Most mice has-part tails.	1.00	y	n	n	animal_n1	body_part_n1	a35935|a35936|a35937|a35938|a35939|a35940|a35941|a35942
0.84	most	mouse	love	cheese	Most mice love cheese.	1.00	y	n	n	animal_n1	food_n1	a25971
0.84	most	mouse	require	food	Most mice require food.	1.00	y	n	n	animal_n1	food_n1	a56232
0.84	most	mouse	require	water	Most mice require water.	1.00	y	n	n	animal_n1	substance_n1	a4519
0.84	most	mouse	seek	food	Most mice seek food.	1.00	y	n	n	animal_n1	food_n1	a58114|a58115
0.75	most	mouse	carry	food	Most mice carry food.	0.67	y	n	n	animal_n1	food_n1	KBCompletion
0.75	most	mouse	eat	grain	Most mice eat grain.	0.67	y	n	n	animal_n1	material_n1	a46448|a46449
0.75	most	mouse	give birth to	offspring	Most mice give birth to offspring.	1.00	y	n	n	animal_n1	person_n1	a50985|a50986
0.75	most	mouse	has-part	extremity	Most mice has-part extremities.	0.67	y	n	n	animal_n1	body_part_n1	a55371|a55372
0.75	most	mouse	has-part	gland	Most mice has-part glands.	0.33	y	n	n	animal_n1	body_part_n1	a41172|a41173
0.75	most	mouse	has-part	gut	Most mice has-part guts.	1.00	y	n	n	animal_n1	body_part_n1	a42914
0.75	most	mouse	hide in	burrow	Most mice hide in burrows.	1.00	y	n	n	animal_n1	formation_n5	a10786
0.75	most	mouse	hide in	ground	Most mice hide in ground.	1.00	y	n	n	animal_n1	Thing	KBCompletion
0.75	most	mouse	make	urine	Most mice make urine.	1.00	y	n	n	animal_n1	material_n1	a47259
0.75	most	mouse	possess	coat	Most mice possess coats.	1.00	y	n	n	animal_n1	clothing_n1	a77152|a77153
0.75	most	mouse	resemble	rat	Most mice resemble rats.	1.00	y	n	n	animal_n1	animal_n1	a9356
0.75	most	mouse	shed	hair	Most mice shed hair.	0.67	y	n	n	animal_n1	Thing	a59944
0.75	most	mouse	spread	virus	Most mice spread viruses.	1.00	y	n	n	animal_n1	microorganism_n1	a85296|a85297|a85298
0.67	most	mouse	avoid	predator	Most mice avoid predators.	1.00	y	n	n	animal_n1	animal_n1	KBCompletion
0.67	most	mouse	carry	allele	Most mice carry alleles.	0.75	y	n	n	animal_n1	Thing	a47442|a47443
0.67	most	mouse	carry	chromosome	Most mice carry chromosomes.	1.00	y	n	n	animal_n1	Thing	a36633|a36634|a36635
0.67	most	mouse	depend on	diet	Most mice depend on diets.	1.00	y	n	n	animal_n1	food_n1	KBCompletion
0.67	most	mouse	develop	antibody	Most mice develop antibodies.	1.00	y	n	n	animal_n1	substance_n1	a9438
0.67	most	mouse	dig	hole	Most mice dig holes.	0.67	y	n	n	animal_n1	location_n1	KBCompletion
0.67	most	mouse	enter	kitchen	Most mice enter kitchens.	1.00	y	n	n	animal_n1	artifact_n1	KBCompletion
0.67	most	mouse	feed in	field	Most mice feed in fields.	1.00	y	n	n	animal_n1	location_n1	KBCompletion
0.67	most	mouse	follow	burrow	Most mice follow burrows.	1.00	y	n	n	animal_n1	formation_n5	a9727
0.67	most	mouse	has-part	brain	Most mice has-part brains.	1.00	y	n	n	animal_n1	body_part_n1	a6383|a6384|a6385|a6386|a6387|a6388
0.67	most	mouse	has-part	heart	Most mice has-part hearts.	1.00	y	n	n	animal_n1	body_part_n1	a60110|a60111
0.67	most	mouse	has-part	skull	Most mice has-part skulls.	1.00	y	n	n	animal_n1	body_part_n1	a67781
0.67	most	mouse	has-part	toe	Most mice has-part toes.	1.00	y	n	n	animal_n1	body_part_n1	a8014
0.67	most	mouse	has-part	tooth	Most mice has-part teeth.	1.00	y	n	n	animal_n1	body_part_n1	a10587|a10588|a10589
0.67	most	mouse	hide in	environment	Most mice hide in environments.	1.00	y	n	n	animal_n1	location_n1	KBCompletion
0.67	most	mouse	hide in	garden	Most mice hide in gardens.	1.00	y	n	n	animal_n1	location_n1	KBCompletion
0.67	most	mouse	hide in	habitat	Most mice hide in habitats.	0.67	y	n	n	animal_n1	location_n1	KBCompletion
0.67	most	mouse	hide in	hole	Most mice hide in holes.	1.00	y	n	n	animal_n1	location_n1	KBCompletion
0.67	most	mouse	invade	habitat	Most mice invade habitats.	1.00	y	n	n	animal_n1	location_n1	KBCompletion
0.67	most	mouse	live in	ground	Most mice live in ground.	0.50	y	n	n	animal_n1	Thing	KBCompletion
0.67	most	mouse	live on	ground	Most mice live on ground.	1.00	y	n	n	animal_n1	Thing	a4090
0.67	most	mouse	make	antibody	Most mice make antibodies.	1.00	y	n	n	animal_n1	substance_n1	a5822|a5823|a5824|a5825|a5826|a5827|a5828|a5829
0.67	most	mouse	make	burrow	Most mice make burrows.	1.00	y	n	n	animal_n1	formation_n5	KBCompletion
0.67	most	mouse	possess	parasite	Most mice possess parasites.	1.00	y	n	n	animal_n1	organism_n1	a83137
0.67	most	mouse	receive	food	Most mice receive food.	1.00	y	n	n	animal_n1	food_n1	a28204
0.67	most	mouse	return to	field	Most mice return to fields.	1.00	y	n	n	animal_n1	location_n1	KBCompletion
0.67	most	mouse	serve as	prey	Most mice serve as prey.	1.00	y	n	n	animal_n1	animal_n1	KBCompletion
0.67	most	mouse	stand on	leg	Most mice stand on legs.	1.00	y	n	n	animal_n1	body_part_n1	KBCompletion
0.60	most	mouse	is known as	animal	Most mice are known as animals.	1.00	y	n	n	animal_n1	animal_n1	KBCompletion
0.58	most	mouse	carry	parasite	Most mice carry parasites.	1.00	y	n	n	animal_n1	organism_n1	KBCompletion
0.58	most	mouse	carry	virus	Most mice carry viruses.	0.67	y	n	n	animal_n1	microorganism_n1	a3849|a3850|a3851|a3852|a3853
0.58	most	mouse	depend on	food	Most mice depend on food.	1.00	y	n	n	animal_n1	food_n1	a33049
0.58	most	mouse	destroy	grain	Most mice destroy grain.	1.00	y	n	n	animal_n1	material_n1	KBCompletion
0.58	most	mouse	eat	crop	Most mice eat crops.	1.00	y	n	n	animal_n1	event_n1	a47122|a83501
0.58	most	mouse	eat	diet	Most mice eat diets.	0.75	y	n	n	animal_n1	food_n1	a15463|a25874|a25875|a25876|a25877|a25878
0.58	most	mouse	enter	building	Most mice enter buildings.	1.00	y	n	n	animal_n1	building_n1	KBCompletion
0.58	most	mouse	give birth to	animal	Most mice give birth to animals.	1.00	y	n	n	animal_n1	animal_n1	a67077
0.58	most	mouse	go to	field	Most mice go to fields.	1.00	y	n	n	animal_n1	location_n1	a76281
0.58	most	mouse	has-part	flesh	Most mice has-part flesh.	0.67	y	n	n	animal_n1	body_part_n1	a34223
0.58	most	mouse	hate	cat	Most mice hate cats.	1.00	y	n	n	animal_n1	animal_n1	a9919
0.58	most	mouse	infect	prey	Most mice infect prey.	0.67	y	n	n	animal_n1	animal_n1	KBCompletion
0.58	most	mouse	invade	environment	Most mice invade environments.	1.00	y	n	n	animal_n1	location_n1	KBCompletion
0.58	most	mouse	invade	garden	Most mice invade gardens.	0.67	y	n	n	animal_n1	location_n1	KBCompletion
0.58	most	mouse	is known as	prey	Most mice are known as prey.	1.00	y	n	n	animal_n1	animal_n1	KBCompletion
0.58	most	mouse	live in	habitat	Most mice live in habitats.	1.00	y	n	n	animal_n1	location_n1	a67828
0.58	most	mouse	make	mouse	Most mice make mice.	1.00	y	n	n	animal_n1	animal_n1	a2079
0.58	most	mouse	make	sperm	Most mice make sperm.	1.00	y	n	n	animal_n1	Thing	a68250|a68251|a68252|a68253
0.58	most	mouse	pick up	virus	Most mice pick up viruses.	1.00	y	n	n	animal_n1	microorganism_n1	KBCompletion
0.58	most	mouse	possess	antigen	Most mice possess antigen.	1.00	y	n	n	animal_n1	substance_n1	a63998
0.58	most	mouse	possess	baby	Most mice possess babies.	0.67	y	n	n	animal_n1	person_n1	a32631
0.58	most	mouse	possess	cell	Most mice possess cells.	1.00	y	n	n	animal_n1	Thing	a2455|a2456|a2457|a2458|a2459|a2460|a2461|a2462|a2463|a2464
0.58	most	mouse	possess	sensor	Most mice possess sensors.	1.00	y	n	n	animal_n1	device_n1	a69988
0.58	most	mouse	prefer	grain	Most mice prefer grain.	1.00	y	n	n	animal_n1	material_n1	a47784|a47785
0.58	most	mouse	receive	milk	Most mice receive milk.	1.00	y	n	n	animal_n1	food_n1	a79665|a79666|a79667
0.58	most	mouse	relate to	organism	Most mice relate to organisms.	0.67	y	n	n	animal_n1	organism_n1	KBCompletion
0.58	most	mouse	require	habitat	Most mice require habitats.	1.00	y	n	n	animal_n1	location_n1	KBCompletion
0.58	most	mouse	require	something	Most mice require something.	1.00	y	n	n	animal_n1	Thing	a47136
0.58	most	mouse	transmit	parasite	Most mice transmit parasites.	1.00	y	n	n	animal_n1	organism_n1	KBCompletion
0.58	most	mouse	visit	field	Most mice visit fields.	1.00	y	n	n	animal_n1	location_n1	KBCompletion
0.50	some	mouse	enter	field	Some mice enter fields.	1.00	y	n	n	animal_n1	location_n1	a82688
0.50	some	mouse	hide	nest	Some mice hide nests.	0.67	y	n	n	animal_n1	Thing	KBCompletion
0.50	some	mouse	infect	mouse	Some mice infect mice.	1.00	y	n	n	animal_n1	animal_n1	a83534|a83535
0.50	some	mouse	infect	person	Some mice infect people.	0.50	y	n	n	animal_n1	person_n1	KBCompletion
0.50	some	mouse	invade	field	Some mice invade fields.	1.00	y	n	n	animal_n1	location_n1	KBCompletion
0.50	some	mouse	invade	hole	Some mice invade holes.	0.67	y	n	n	animal_n1	location_n1	KBCompletion
0.50	some	mouse	live in	country	Some mice live in countries.	1.00	y	n	n	animal_n1	location_n1	a41889
0.50	some	mouse	live in	field	Some mice live in fields.	1.00	y	n	n	animal_n1	location_n1	a930|a83601
0.50	some	mouse	live in	forest	Some mice live in forests.	1.00	y	n	n	animal_n1	Thing	a35996
0.50	some	mouse	live in	house	Some mice live in houses.	1.00	y	n	n	animal_n1	building_n1	a41413|a41414|a41415
0.50	some	mouse	live in	nest	Some mice live in nests.	1.00	y	n	n	animal_n1	Thing	a9706
0.50	some	mouse	pick up	dust	Some mice pick up dust.	1.00	y	n	n	animal_n1	material_n1	a43384
0.50	some	mouse	possess	genotype	Some mice possess genotype.	1.00	y	n	n	animal_n1	Thing	a81758
0.50	some	mouse	possess	hair	Some mice possess hair.	1.00	y	n	n	animal_n1	Thing	a17711|a17712
0.50	some	mouse	possess	side	Some mice possess sides.	1.00	y	n	n	animal_n1	location_n1	a44860
0.50	some	mouse	possess	touch	Some mice possess touch.	1.00	y	n	n	animal_n1	event_n1	a36273
0.50	some	mouse	provide	milk	Some mice provide milk.	0.67	y	n	n	animal_n1	food_n1	KBCompletion
0.50	some	mouse	receive	gene	Some mice receive genes.	0.67	y	n	n	animal_n1	Thing	a34485
0.50	some	mouse	require	diet	Some mice require diets.	1.00	y	n	n	animal_n1	food_n1	a56714
0.50	some	mouse	wait for	prey	Some mice wait for prey.	0.67	y	n	n	animal_n1	animal_n1	KBCompletion
0.50	some	mouse	walk on	leg	Some mice walk on legs.	0.50	y	n	n	animal_n1	body_part_n1	KBCompletion
0.41	some	mouse	bite	mouse	Some mice bite mice.	1.00	y	n	n	animal_n1	animal_n1	KBCompletion
0.41	some	mouse	chew	garden	Some mice chew gardens.	0.67	y	n	n	animal_n1	location_n1	KBCompletion
0.41	some	mouse	destroy	crop	Some mice destroy crops.	1.00	y	n	n	animal_n1	event_n1	a44416
0.41	some	mouse	destroy	habitat	Some mice destroy habitats.	0.67	y	n	n	animal_n1	location_n1	KBCompletion
0.41	some	mouse	dig	burrow	Some mice dig burrows.	0.67	y	n	n	animal_n1	formation_n5	KBCompletion
0.41	some	mouse	eat	corn	Some mice eat corn.	1.00	y	n	n	animal_n1	plant_n2	a77119
0.41	some	mouse	eat	seedling	Some mice eat seedlings.	1.00	y	n	n	animal_n1	plant_n2	a12805
0.41	some	mouse	enter	apartment	Some mice enter apartments.	1.00	y	n	n	animal_n1	artifact_n1	a9255
0.41	some	mouse	hide in	building	Some mice hide in buildings.	1.00	y	n	n	animal_n1	building_n1	a60341
0.41	some	mouse	hide in	field	Some mice hide in fields.	0.67	y	n	n	animal_n1	location_n1	a21485
0.41	some	mouse	infect	livestock	Some mice infect livestock.	1.00	y	n	n	animal_n1	animal_n1	KBCompletion
0.41	some	mouse	invade	forest	Some mice invade forests.	0.67	y	n	n	animal_n1	Thing	KBCompletion
0.41	some	mouse	invade	home	Some mice invade homes.	1.00	y	n	n	animal_n1	location_n1	a79497|a79498|a79499
0.41	some	mouse	invade	pasture	Some mice invade pasture.	1.00	y	n	n	animal_n1	location_n1	KBCompletion
0.41	some	mouse	invade	region	Some mice invade regions.	1.00	y	n	n	animal_n1	location_n1	KBCompletion
0.41	some	mouse	is inside	house	Some mice are inside houses.	1.00	y	n	n	animal_n1	building_n1	KBCompletion
0.41	some	mouse	live in	barn	Some mice live in barns.	1.00	y	n	n	animal_n1	building_n1	a74914
0.41	some	mouse	live in	establishment	Some mice live in establishments.	1.00	y	n	n	animal_n1	action_n1	a84585
0.41	some	mouse	live in	garden	Some mice live in gardens.	1.00	y	n	n	animal_n1	location_n1	a20517
0.41	some	mouse	make	damage	Some mice make damage.	0.67	y	n	n	animal_n1	event_n1	KBCompletion
0.41	some	mouse	pick up	organism	Some mice pick up organisms.	0.67	y	n	n	animal_n1	organism_n1	KBCompletion
0.41	some	mouse	play in	room	Some mice play in rooms.	1.00	y	n	n	animal_n1	artifact_n1	a34811|a34812
0.41	some	mouse	possess	antibody	Some mice possess antibodies.	1.00	y	n	n	animal_n1	substance_n1	a76952|a76953
0.41	some	mouse	possess	ovary	Some mice possess ovaries.	1.00	y	n	n	animal_n1	plant_part_n1	a6481
